"ticker","datetime","open","high","low","close","average","volume","barcount"
GOOG,2023-05-01 12:36:30.000,108.27,108.27,108.25,108.26,108.259,6400,40
GOOG,2023-05-01 12:36:40.000,108.28,108.29,108.28,108.29,108.288,4073,22
GOOG,2023-05-01 12:36:50.000,108.3,108.3,108.27,108.28,108.288,4900,18
GOOG,2023-05-01 12:37:00.000,108.27,108.27,108.25,108.25,108.263,6290,43
GOOG,2023-05-01 12:37:10.000,108.25,108.27,108.25,108.27,108.258,2917,8
GOOG,2023-05-01 12:37:20.000,108.27,108.28,108.26,108.27,108.271,3087,13
GOOG,2023-05-01 12:37:30.000,108.27,108.3,108.27,108.29,108.283,9149,23
GOOG,2023-05-01 12:37:40.000,108.3,108.3,108.27,108.29,108.285,3908,20
GOOG,2023-05-01 12:37:50.000,108.29,108.29,108.28,108.29,108.286,2410,9
GOOG,2023-05-01 12:38:00.000,108.29,108.3,108.28,108.29,108.29,6891,42
GOOG,2023-05-01 12:38:10.000,108.29,108.3,108.28,108.3,108.284,2494,16
GOOG,2023-05-01 12:38:20.000,108.29,108.3,108.28,108.29,108.291,2291,15
GOOG,2023-05-01 12:38:30.000,108.3,108.31,108.28,108.31,108.297,10708,47
GOOG,2023-05-01 12:38:40.000,108.31,108.31,108.29,108.3,108.301,2205,14
GOOG,2023-05-01 12:38:50.000,108.31,108.36,108.31,108.34,108.338,27443,111
GOOG,2023-05-01 12:39:00.000,108.34,108.38,108.33,108.37,108.356,8344,47
GOOG,2023-05-01 12:39:10.000,108.38,108.39,108.37,108.39,108.383,10213,72
GOOG,2023-05-01 12:39:20.000,108.38,108.38,108.36,108.38,108.373,2955,19
GOOG,2023-05-01 12:39:30.000,108.38,108.38,108.37,108.38,108.374,5944,10
GOOG,2023-05-01 12:39:40.000,108.38,108.39,108.37,108.38,108.38,1554,14
GOOG,2023-05-01 12:39:50.000,108.38,108.39,108.36,108.36,108.378,8332,15
GOOG,2023-05-01 12:40:00.000,108.36,108.37,108.35,108.35,108.354,1550,14
GOOG,2023-05-01 12:40:10.000,108.34,108.36,108.33,108.36,108.341,1282,10
GOOG,2023-05-01 12:40:20.000,108.35,108.37,108.35,108.36,108.359,3154,16
GOOG,2023-05-01 12:40:30.000,108.36,108.37,108.35,108.37,108.359,2454,22
GOOG,2023-05-01 12:40:40.000,108.36,108.36,108.33,108.33,108.345,5459,14
GOOG,2023-05-01 12:40:50.000,108.34,108.34,108.32,108.33,108.33,2846,19
GOOG,2023-05-01 12:41:00.000,108.32,108.33,108.29,108.29,108.303,9685,40
GOOG,2023-05-01 12:41:10.000,108.3,108.3,108.28,108.28,108.293,7705,23
GOOG,2023-05-01 12:41:20.000,108.28,108.3,108.28,108.3,108.285,2715,18
GOOG,2023-05-01 12:41:30.000,108.3,108.31,108.28,108.28,108.289,3200,18
GOOG,2023-05-01 12:41:40.000,108.28,108.29,108.27,108.29,108.28,1000,8
GOOG,2023-05-01 12:41:50.000,108.28,108.3,108.27,108.29,108.285,5133,36
GOOG,2023-05-01 12:42:00.000,108.3,108.3,108.27,108.28,108.279,2964,25
GOOG,2023-05-01 12:42:10.000,108.28,108.29,108.27,108.28,108.284,2328,12
GOOG,2023-05-01 12:42:20.000,108.28,108.28,108.27,108.27,108.272,1490,9
GOOG,2023-05-01 12:42:30.000,108.27,108.29,108.27,108.28,108.28,3292,21
GOOG,2023-05-01 12:42:40.000,108.27,108.28,108.25,108.27,108.264,2927,26
GOOG,2023-05-01 12:42:50.000,108.26,108.27,108.26,108.27,108.265,1652,2
GOOG,2023-05-01 12:43:00.000,108.27,108.28,108.26,108.28,108.274,6063,50
GOOG,2023-05-01 12:43:10.000,108.28,108.29,108.28,108.28,108.285,2946,21
GOOG,2023-05-01 12:43:20.000,108.28,108.28,108.27,108.27,108.273,505,5
GOOG,2023-05-01 12:43:30.000,108.27,108.27,108.25,108.26,108.262,855,6
GOOG,2023-05-01 12:43:40.000,108.26,108.28,108.26,108.28,108.276,1777,14
GOOG,2023-05-01 12:43:50.000,108.28,108.29,108.26,108.26,108.28,4707,32
GOOG,2023-05-01 12:44:00.000,108.27,108.28,108.26,108.28,108.263,7235,40
GOOG,2023-05-01 12:44:10.000,108.26,108.27,108.22,108.23,108.253,7720,40
GOOG,2023-05-01 12:44:20.000,108.22,108.23,108.21,108.21,108.22,1993,9
GOOG,2023-05-01 12:44:30.000,108.22,108.22,108.21,108.21,108.211,2105,16
GOOG,2023-05-01 12:44:40.000,108.21,108.23,108.21,108.22,108.222,2279,20
GOOG,2023-05-01 12:44:50.000,108.22,108.23,108.21,108.23,108.216,944,6
GOOG,2023-05-01 12:45:00.000,108.22,108.22,108.21,108.21,108.22,2171,11
GOOG,2023-05-01 12:45:10.000,108.22,108.22,108.19,108.19,108.203,5314,35
GOOG,2023-05-01 12:45:20.000,108.19,108.2,108.19,108.2,108.196,400,2
GOOG,2023-05-01 12:45:30.000,108.19,108.2,108.17,108.17,108.192,5049,41
GOOG,2023-05-01 12:45:40.000,108.18,108.19,108.17,108.18,108.176,3160,22
GOOG,2023-05-01 12:45:50.000,108.18,108.19,108.16,108.18,108.18,5012,32
GOOG,2023-05-01 12:46:00.000,108.17,108.18,108.16,108.17,108.167,2795,16
GOOG,2023-05-01 12:46:10.000,108.15,108.16,108.15,108.16,108.156,1085,3
GOOG,2023-05-01 12:46:20.000,108.15,108.16,108.14,108.14,108.142,1949,16
GOOG,2023-05-01 12:46:30.000,108.14,108.16,108.14,108.16,108.148,1417,10
GOOG,2023-05-01 12:46:40.000,108.15,108.16,108.14,108.15,108.148,1800,9
GOOG,2023-05-01 12:46:50.000,108.15,108.16,108.15,108.16,108.16,3892,18
GOOG,2023-05-01 12:47:00.000,108.16,108.17,108.14,108.17,108.158,3718,25
GOOG,2023-05-01 12:47:10.000,108.17,108.17,108.14,108.14,108.148,7089,38
GOOG,2023-05-01 12:47:20.000,108.13,108.15,108.13,108.15,108.14,11703,21
GOOG,2023-05-01 12:47:30.000,108.14,108.16,108.13,108.13,108.148,6918,28
GOOG,2023-05-01 12:47:40.000,108.12,108.14,108.12,108.13,108.13,1689,14
GOOG,2023-05-01 12:47:50.000,108.13,108.13,108.09,108.09,108.107,4893,29
GOOG,2023-05-01 12:48:00.000,108.11,108.12,108.1,108.1,108.113,1567,11
GOOG,2023-05-01 12:48:10.000,108.11,108.12,108.1,108.1,108.109,3266,21
GOOG,2023-05-01 12:48:20.000,108.1,108.14,108.1,108.14,108.112,6367,50
GOOG,2023-05-01 12:48:30.000,108.13,108.14,108.12,108.14,108.13,2933,17
GOOG,2023-05-01 12:48:40.000,108.15,108.15,108.12,108.13,108.136,6332,56
GOOG,2023-05-01 12:48:50.000,108.13,108.13,108.1,108.11,108.12,2008,19
GOOG,2023-05-01 12:49:00.000,108.11,108.11,108.08,108.09,108.102,4998,22
GOOG,2023-05-01 12:49:10.000,108.09,108.12,108.09,108.12,108.11,1865,13
GOOG,2023-05-01 12:49:20.000,108.13,108.14,108.13,108.13,108.131,700,6
GOOG,2023-05-01 12:49:30.000,108.15,108.15,108.14,108.14,108.142,2275,8
GOOG,2023-05-01 12:49:40.000,108.15,108.15,108.13,108.14,108.137,2960,11
GOOG,2023-05-01 12:49:50.000,108.14,108.15,108.1,108.11,108.135,6461,28
GOOG,2023-05-01 12:50:00.000,108.11,108.13,108.11,108.12,108.118,1827,16
GOOG,2023-05-01 12:50:10.000,108.12,108.12,108.1,108.12,108.11,5230,25
GOOG,2023-05-01 12:50:20.000,108.13,108.14,108.13,108.13,108.133,2076,19
GOOG,2023-05-01 12:50:30.000,108.14,108.15,108.13,108.15,108.138,4697,12
GOOG,2023-05-01 12:50:40.000,108.14,108.15,108.12,108.14,108.138,4413,25
GOOG,2023-05-01 12:50:50.000,108.15,108.16,108.15,108.15,108.151,2008,13
GOOG,2023-05-01 12:51:00.000,108.16,108.16,108.12,108.12,108.135,2691,19
GOOG,2023-05-01 12:51:10.000,108.12,108.13,108.12,108.13,108.122,1261,9
GOOG,2023-05-01 12:51:20.000,108.12,108.13,108.11,108.11,108.115,1615,15
GOOG,2023-05-01 12:51:30.000,108.12,108.13,108.11,108.12,108.12,5587,25
GOOG,2023-05-01 12:51:40.000,108.12,108.12,108.11,108.12,108.117,600,2
GOOG,2023-05-01 12:51:50.000,108.11,108.11,108.09,108.1,108.106,1826,16
GOOG,2023-05-01 12:52:00.000,108.09,108.13,108.09,108.13,108.113,1367,10
GOOG,2023-05-01 12:52:10.000,108.13,108.16,108.13,108.15,108.14,2788,13
GOOG,2023-05-01 12:52:20.000,108.15,108.15,108.12,108.14,108.135,5286,51
GOOG,2023-05-01 12:52:30.000,108.14,108.18,108.13,108.18,108.162,4168,21
GOOG,2023-05-01 12:52:40.000,108.18,108.19,108.18,108.18,108.183,1193,10
GOOG,2023-05-01 12:52:50.000,108.18,108.18,108.15,108.17,108.169,14540,39
GOOG,2023-05-01 12:53:00.000,108.18,108.18,108.17,108.18,108.177,3446,19
GOOG,2023-05-01 12:53:10.000,108.18,108.18,108.17,108.18,108.179,3300,26
GOOG,2023-05-01 12:53:20.000,108.17,108.18,108.17,108.18,108.174,1242,10
GOOG,2023-05-01 12:53:30.000,108.18,108.19,108.17,108.19,108.18,4343,33
GOOG,2023-05-01 12:53:40.000,108.19,108.19,108.18,108.19,108.188,600,2
GOOG,2023-05-01 12:53:50.000,108.19,108.2,108.18,108.19,108.187,3406,21
GOOG,2023-05-01 12:54:00.000,108.19,108.2,108.18,108.19,108.19,2000,12
GOOG,2023-05-01 12:54:10.000,108.19,108.2,108.19,108.2,108.193,300,3
GOOG,2023-05-01 12:54:20.000,108.2,108.21,108.19,108.2,108.198,5929,38
GOOG,2023-05-01 12:54:30.000,108.2,108.21,108.18,108.19,108.194,2697,17
GOOG,2023-05-01 12:54:40.000,108.19,108.19,108.17,108.18,108.181,1213,11
GOOG,2023-05-01 12:54:50.000,108.18,108.2,108.17,108.2,108.19,4145,30
GOOG,2023-05-01 12:55:00.000,108.21,108.21,108.2,108.21,108.21,4225,21
GOOG,2023-05-01 12:55:10.000,108.21,108.22,108.2,108.2,108.212,2530,20
GOOG,2023-05-01 12:55:20.000,108.2,108.22,108.2,108.2,108.209,2495,19
